DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
Amazônia Legal (residência): Sim
Class. Final: Ign/Branco, Dengue Clássico, Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Inconclusivo, Dengue, Dengue com sinais de alarme, Dengue grave
Período:2014-2024
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"510300 CHAPADA DOS GUIMARAES";-;10;68;25;4;19;14;219;534;178;134;430;1635
"510305 CLAUDIA";-;16;62;16;12;11;114;314;188;555;46;163;1497
"510310 COCALINHO";-;1;193;38;64;68;348;25;27;316;23;345;1448
"510320 COLIDER";-;66;162;657;43;3;67;243;1145;224;800;326;3736
"510325 COLNIZA";2;216;865;702;186;84;514;379;135;103;482;113;3781
"510330 COMODORO";-;120;101;127;34;14;154;518;19;43;681;320;2131
"510335 CONFRESA";-;49;41;103;9;235;648;275;540;598;503;473;3474
"510336 CONQUISTA D'OESTE";1;2;-;-;-;1;1;24;65;42;95;132;363
"510337 COTRIGUACU";-;21;63;166;19;9;40;118;34;111;210;21;812
"510340 CUIABA";6;1459;3463;1948;3581;1486;474;832;723;789;1371;2223;18355
"510343 CURVELANDIA";-;2;4;1;-;1;1;37;6;8;3;32;95
"510345 DENISE";-;-;2;1;-;1;2;1;1;2;2;4;16
"510350 DIAMANTINO";-;-;8;3;12;11;91;266;450;430;131;179;1581
"510360 DOM AQUINO";-;9;15;14;4;3;8;77;62;88;74;97;451
"510370 FELIZ NATAL";5;23;84;75;8;14;19;684;131;384;85;57;1569
"510380 FIGUEIROPOLIS D'OESTE";-;2;9;1;2;-;-;43;12;-;19;19;107
"510385 GAUCHA DO NORTE";-;8;44;23;11;116;17;72;106;233;189;75;894
"510390 GENERAL CARNEIRO";-;3;9;63;14;5;28;13;3;23;25;178;364
"510395 GLORIA D'OESTE";-;1;17;10;-;2;2;1;47;1;1;-;82
"510410 GUARANTA DO NORTE";-;9;249;762;41;6;356;179;365;161;31;129;2288
"510420 GUIRATINGA";-;17;46;20;7;1;22;65;16;16;22;78;310
"510450 INDIAVAI";-;9;4;2;1;-;1;18;54;5;57;18;169
"510452 IPIRANGA DO NORTE";-;7;12;113;3;-;86;347;26;272;15;107;988
"510454 ITANHANGA";-;14;73;72;17;3;9;273;165;188;8;19;841
"510455 ITAUBA";-;44;135;114;7;2;17;39;313;132;75;15;893
"510460 ITIQUIRA";-;1;22;194;2;1;206;154;3;154;214;28;979
"510480 JACIARA";-;36;173;392;29;21;32;110;183;415;92;419;1902
"510490 JANGADA";-;3;4;-;35;14;6;5;28;15;54;24;188
"510500 JAURU";-;18;32;27;3;1;1;11;47;5;31;66;242
"510510 JUARA";-;53;359;556;56;30;58;508;11;361;229;81;2302
"510515 JUINA";2;105;111;709;92;7;20;227;382;202;447;101;2405
"510517 JURUENA";-;3;49;58;1;-;-;8;50;64;236;25;494
"510520 JUSCIMEIRA";-;4;16;36;77;3;2;53;140;42;48;100;521
"510523 LAMBARI D'OESTE";-;2;7;-;1;-;6;50;18;3;3;128;218
"510525 LUCAS DO RIO VERDE";-;33;203;137;27;30;255;1425;195;2804;614;285;6008
"510530 LUCIARA";-;-;-;1;-;-;-;-;4;-;1;1;7
"510550 VILA BELA DA SANTISSIMA TRINDADE";1;82;2;6;17;28;17;61;48;38;30;43;373
"510558 MARCELANDIA";-;44;122;217;16;6;7;68;648;543;210;187;2068
"510560 MATUPA";-;54;598;323;95;45;60;181;254;262;35;156;2063
"510562 MIRASSOL D'OESTE";-;6;224;106;8;75;30;128;395;99;137;407;1615
"510590 NOBRES";-;10;24;5;4;9;14;18;89;208;56;42;479
"510600 NORTELANDIA";-;1;14;32;4;39;29;51;22;81;17;85;375
"510610 NOSSA SENHORA DO LIVRAMENTO";-;12;17;1;9;6;6;19;33;16;15;53;187
"510615 NOVA BANDEIRANTES";-;17;6;16;9;4;1;63;91;191;75;39;512
"510617 NOVA NAZARE";-;-;1;2;71;1;7;4;4;57;12;89;248
"510618 NOVA LACERDA";-;4;26;2;12;24;2;76;49;44;32;360;631
"510619 NOVA SANTA HELENA";-;31;53;116;2;21;10;25;60;167;32;82;599
"510620 NOVA BRASILANDIA";-;7;27;12;7;14;3;37;56;19;38;118;338
"510621 NOVA CANAA DO NORTE";-;26;34;117;5;16;86;291;448;51;186;64;1324
"510622 NOVA MUTUM";-;24;292;224;26;39;35;672;657;1953;242;2190;6354
"510623 NOVA OLIMPIA";-;32;32;23;4;16;63;79;5;54;32;113;453
"510624 NOVA UBIRATA";-;28;77;96;11;17;9;164;301;427;168;179;1477
"510625 NOVA XAVANTINA";-;24;44;154;13;7;164;40;23;356;498;51;1374
"510626 NOVO MUNDO";-;4;49;153;4;-;10;162;254;242;30;336;1244
"510627 NOVO HORIZONTE DO NORTE";-;-;71;35;3;5;3;38;18;446;50;8;677
"510628 NOVO SAO JOAQUIM";-;-;46;24;6;5;22;13;3;60;30;32;241
"510629 PARANAITA";-;32;92;34;100;82;44;95;606;198;311;630;2224
"510630 PARANATINGA";-;2;88;217;28;15;26;103;145;122;767;815;2328
"510631 NOVO SANTO ANTONIO";-;1;2;4;-;2;2;-;-;2;4;2;19
"510637 PEDRA PRETA";-;5;12;8;8;6;22;74;2;41;86;97;361
"510642 PEIXOTO DE AZEVEDO";-;28;207;648;58;9;26;563;196;367;344;447;2893
"510645 PLANALTO DA SERRA";-;1;3;71;-;14;38;276;2;188;91;122;806
"510650 POCONE";-;40;197;38;43;245;6;146;48;212;19;61;1055
"510665 PONTAL DO ARAGUAIA";1;11;44;37;9;10;73;30;42;193;60;70;580
"510670 PONTE BRANCA";-;10;12;10;1;1;4;11;-;17;209;134;409
"510675 PONTES E LACERDA";1;151;113;319;85;46;85;328;393;402;581;1225;3729
"510677 PORTO ALEGRE DO NORTE";-;72;1;190;16;8;150;6;181;28;26;153;831
"510680 PORTO DOS GAUCHOS";-;6;22;22;10;-;14;49;20;239;118;38;538
"510682 PORTO ESPERIDIAO";-;60;-;3;-;6;3;148;14;6;166;87;493
"510685 PORTO ESTRELA";-;-;-;7;-;-;3;18;3;77;19;29;156
"510700 POXOREO";-;3;47;34;2;1;31;66;4;42;221;61;512
"510704 PRIMAVERA DO LESTE";-;32;557;640;69;89;715;2814;519;1449;4303;2764;13951
"510706 QUERENCIA";-;10;124;163;11;118;308;56;44;1502;47;544;2927
"510710 SAO JOSE DOS QUATRO MARCOS";-;19;18;3;7;5;8;87;31;22;38;521;759
"510715 RESERVA DO CABACAL";-;117;22;56;11;1;3;96;14;33;76;16;445
"510718 RIBEIRAO CASCALHEIRA";-;2;44;60;1;32;73;6;3;70;69;29;389
"510719 RIBEIRAOZINHO";-;6;86;37;6;16;37;134;-;16;40;20;398
"510720 RIO BRANCO";-;6;141;42;-;-;58;30;8;4;3;216;508
"510724 SANTA CARMEM";-;12;265;20;10;6;9;118;108;241;30;68;887
"510726 SANTO AFONSO";-;4;6;2;1;79;15;10;28;14;5;62;226
"510729 SAO JOSE DO POVO";-;-;1;2;6;-;37;22;-;65;91;11;235
"510730 SAO JOSE DO RIO CLARO";-;4;11;22;10;7;-;232;62;491;40;129;1008
"510735 SAO JOSE DO XINGU";-;11;38;85;6;3;134;19;83;77;27;44;527
"510740 SAO PEDRO DA CIPA";-;1;2;7;-;1;1;16;4;50;13;107;202
"510757 RONDOLANDIA";1;12;1;26;4;1;1;8;3;14;83;45;199
"510760 RONDONOPOLIS";2;144;434;220;65;41;308;1261;318;331;2434;451;6009
"510770 ROSARIO OESTE";1;45;51;14;40;119;26;24;253;62;75;27;737
"510774 SANTA CRUZ DO XINGU";-;4;-;5;2;4;18;13;59;44;23;18;190
"510775 SALTO DO CEU";-;8;26;2;1;1;19;6;-;-;-;5;68
"510776 SANTA RITA DO TRIVELATO";-;3;98;31;3;1;3;105;187;66;22;170;689
"510777 SANTA TEREZINHA";-;7;1;-;-;-;2;2;2;2;3;11;30
"510779 SANTO ANTONIO DO LESTE";-;-;64;23;14;9;10;111;2;49;18;33;333
"510780 SANTO ANTONIO DO LEVERGER";-;5;28;21;13;3;10;37;51;55;126;90;439
"510785 SAO FELIX DO ARAGUAIA";-;4;5;76;1;17;16;9;6;33;37;32;236
"510787 SAPEZAL";-;46;131;43;5;2;72;398;99;340;474;204;1814
"510788 SERRA NOVA DOURADA";-;2;24;9;-;1;-;-;6;10;19;12;83
"510790 SINOP";23;1546;2548;1335;410;430;1348;6799;1569;2197;464;949;19618
"510792 SORRISO";-;107;488;417;37;44;180;1470;2233;2288;297;986;8547
"510794 TABAPORA";-;7;124;223;20;3;42;202;97;343;56;100;1217
"510795 TANGARA DA SERRA";-;23;317;214;134;118;291;1420;153;1158;1055;4171;9054
"510800 TAPURAH";-;98;33;281;-;4;57;432;259;454;49;14;1681
"510805 TERRA NOVA DO NORTE";-;23;31;503;8;1;32;191;203;50;155;367;1564
"510810 TESOURO";-;1;72;48;3;5;2;38;4;12;77;46;308
"510820 TORIXOREU";-;63;99;75;37;49;149;45;22;81;108;20;748
"510830 UNIAO DO SUL";-;5;10;29;1;2;28;41;26;351;55;62;610
"510835 VALE DE SAO DOMINGOS";-;4;12;11;3;-;7;6;4;23;24;43;137
"510840 VARZEA GRANDE";8;380;2001;730;2346;1685;156;423;282;247;832;1038;10128
"510850 VERA";-;49;336;92;10;4;82;236;263;137;27;67;1303
"510860 VILA RICA";-;-;10;66;44;12;48;17;92;21;71;49;430
"510880 NOVA GUARITA";-;5;26;132;5;2;1;35;69;46;99;201;621
"510885 NOVA MARILANDIA";-;1;2;-;2;2;-;36;24;75;4;4;150
"510890 NOVA MARINGA";-;-;12;8;2;12;32;197;63;117;17;6;466
"510895 NOVA MONTE VERDE";2;13;14;137;62;28;6;21;63;168;41;108;663
"Total";197;57961;61218;81938;37958;26970;52616;61381;64309;91176;67854;100539;704117
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
 foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de
 notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas.
 Dados de 2024 atualizados em 05/08/2024 às 04:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em agosto de 2024.
 
